Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1173,,COc1cc(C2c3cc4c(cc3C(=O)C3CCC(=O)N32)OCO4)cc(OC)c1O,0,2.89,1,65.01089,0,2.0466666,23.31585205078125,1,In
1174,,COc1ccc(C(=O)N2CCc3c([nH]c4ccccc34)C2C(=O)O)o1,0,0.99,1,72.54152,0,0.24133332,24.590950724283854,1,In
1207,,O=C(O)c1c2c(cc3c(=O)c4ccccc4[nH]c13)CCCC2,0,3.59,1,91.39368,0,0.24266668,31.742114969889325,1,In
1209,,CN1CCN(c2cc3[nH]c(-c4ccc(Cl)cc4)nc3cc2F)CC1,1,85.42,0,41.37184,1,65.22967,64.00716969807944,2,In
1249,,Cc1ccc(NC(=O)CC2C(=O)Nc3ccccc3S2(=O)=O)cc1C,0,1.93,1,73.05375,0,11.171001,28.71824890136719,1,In
1251,,Nc1ncnc2c1ncn2[C@@H]1C[C@@H]1CO,0,6.55,1,76.16719,0,21.221998,34.64639689127604,1,Out
1253,,O=S(=O)(c1ccccc1)N1CCC1c1ccccc1,0,29.66,1,67.903694,0,9.447666,35.67045471191406,1,In
1258,,Cc1ccc(C2=Nc3c(c(C)nn3-c3ccccc3)N=C(C(=O)O)C2)cc1,0,3.04,1,65.09717,0,18.205,28.78072326660157,1,In
1265,,O=C1NCC2=C1CCC1c3ccccc3CCN21,0,7.65,1,85.31589,0,45.317,46.09429626464844,1,In
1267,,COC1=CC(=O)C2C(C1=O)[C@@H]1c3ccccc3C[C@H]21,0,28.16,1,85.31589,1,59.396328,57.624073079427085,2,In
1272,,N=C1NC(c2ccc(Cl)cc2)=CC(c2cccc(Cl)c2)S1,0,15.39,1,93.037674,0,29.583,46.00355804443359,1,In
1276,,Cc1cccc(NC2=NC(=O)C(CC(=O)Nc3cccc(C)c3C)S2)c1,0,14.61,1,94.530106,0,14.106334,41.08214548746745,1,In
